maxRT	maxMZ	maxINT	rts	mzs	ints
32.554833333333335	200.02194213867188	3758.016845703125	32.554833333333335,	200.02194213867188,	3758.016845703125,
35.32733333333333	200.025390625	5993.9853515625	35.32733333333333,	200.025390625,	5993.9853515625,
51.257	200.02645874023438	7012.02001953125	51.257,	200.02645874023438,	7012.02001953125,
57.42516666666667	200.03118896484375	9041.9609375	57.42516666666667,	200.03118896484375,	9041.9609375,
49.00266666666666	200.03614807128906	14057.873046875	49.00266666666666,	200.03614807128906,	14057.873046875,
78.86033333333333	200.037109375	56883.015625	78.97816666666667,78.9,78.86033333333333,78.82183333333334,	200.03660583496094,200.03684997558594,200.037109375,200.0374755859375,	10425.76171875,34689.64453125,56883.015625,21743.830078125,
54.50233333333333	200.0371551513672	6379.4189453125	54.50233333333333,	200.0371551513672,	6379.4189453125,
77.04783333333333	200.03717041015625	3798.592041015625	77.04783333333333,76.97116666666668,	200.03717041015625,200.03750610351562,	3798.592041015625,3032.076416015625,
74.19383333333333	200.03717041015625	5027.39208984375	74.19383333333333,	200.03717041015625,	5027.39208984375,

